epoch,mask_method,group,count,sum
0,foreground_rescue_10,0,50,15
0,foreground_rescue_10,1,50,30
0,foreground_rescue_10,2,50,24
0,foreground_rescue_10,3,50,18
0,foreground_rescue_20,0,50,15
0,foreground_rescue_20,1,50,30
0,foreground_rescue_20,2,50,24
0,foreground_rescue_20,3,50,18
0,foreground_rescue_5,0,50,15
0,foreground_rescue_5,1,50,30
0,foreground_rescue_5,2,50,24
0,foreground_rescue_5,3,50,18
0,random,0,50,15
0,random,1,50,30
0,random,2,50,24
0,random,3,50,18
0,random_rescue_10,0,50,15
0,random_rescue_10,1,50,30
0,random_rescue_10,2,50,24
0,random_rescue_10,3,50,18
0,random_rescue_20,0,50,15
0,random_rescue_20,1,50,30
0,random_rescue_20,2,50,24
0,random_rescue_20,3,50,18
0,random_rescue_5,0,50,15
0,random_rescue_5,1,50,30
0,random_rescue_5,2,50,24
0,random_rescue_5,3,50,18
0,student,0,50,15
0,student,1,50,30
0,student,2,50,24
0,student,3,50,18
5,foreground_rescue_10,0,50,5
5,foreground_rescue_10,1,50,34
5,foreground_rescue_10,2,50,39
5,foreground_rescue_10,3,50,12
5,foreground_rescue_20,0,50,5
5,foreground_rescue_20,1,50,34
5,foreground_rescue_20,2,50,39
5,foreground_rescue_20,3,50,12
5,foreground_rescue_5,0,50,5
5,foreground_rescue_5,1,50,34
5,foreground_rescue_5,2,50,39
5,foreground_rescue_5,3,50,12
5,random,0,50,5
5,random,1,50,34
5,random,2,50,39
5,random,3,50,12
5,random_rescue_10,0,50,5
5,random_rescue_10,1,50,34
5,random_rescue_10,2,50,39
5,random_rescue_10,3,50,12
5,random_rescue_20,0,50,5
5,random_rescue_20,1,50,34
5,random_rescue_20,2,50,39
5,random_rescue_20,3,50,12
5,random_rescue_5,0,50,5
5,random_rescue_5,1,50,34
5,random_rescue_5,2,50,39
5,random_rescue_5,3,50,12
5,student,0,50,5
5,student,1,50,34
5,student,2,50,39
5,student,3,50,12
10,foreground_rescue_10,0,50,5
10,foreground_rescue_10,1,50,38
10,foreground_rescue_10,2,50,36
10,foreground_rescue_10,3,50,7
10,foreground_rescue_20,0,50,5
10,foreground_rescue_20,1,50,38
10,foreground_rescue_20,2,50,36
10,foreground_rescue_20,3,50,7
10,foreground_rescue_5,0,50,5
10,foreground_rescue_5,1,50,38
10,foreground_rescue_5,2,50,36
10,foreground_rescue_5,3,50,7
10,random,0,50,5
10,random,1,50,38
10,random,2,50,36
10,random,3,50,7
10,random_rescue_10,0,50,5
10,random_rescue_10,1,50,38
10,random_rescue_10,2,50,36
10,random_rescue_10,3,50,7
10,random_rescue_20,0,50,5
10,random_rescue_20,1,50,38
10,random_rescue_20,2,50,36
10,random_rescue_20,3,50,7
10,random_rescue_5,0,50,5
10,random_rescue_5,1,50,38
10,random_rescue_5,2,50,36
10,random_rescue_5,3,50,7
10,student,0,50,5
10,student,1,50,38
10,student,2,50,36
10,student,3,50,7
20,foreground_rescue_10,0,50,4
20,foreground_rescue_10,1,50,33
20,foreground_rescue_10,2,50,39
20,foreground_rescue_10,3,50,6
20,foreground_rescue_20,0,50,4
20,foreground_rescue_20,1,50,33
20,foreground_rescue_20,2,50,39
20,foreground_rescue_20,3,50,6
20,foreground_rescue_5,0,50,4
20,foreground_rescue_5,1,50,33
20,foreground_rescue_5,2,50,39
20,foreground_rescue_5,3,50,6
20,random,0,50,4
20,random,1,50,33
20,random,2,50,39
20,random,3,50,6
20,random_rescue_10,0,50,4
20,random_rescue_10,1,50,33
20,random_rescue_10,2,50,39
20,random_rescue_10,3,50,6
20,random_rescue_20,0,50,4
20,random_rescue_20,1,50,33
20,random_rescue_20,2,50,39
20,random_rescue_20,3,50,6
20,random_rescue_5,0,50,4
20,random_rescue_5,1,50,33
20,random_rescue_5,2,50,39
20,random_rescue_5,3,50,6
20,student,0,50,4
20,student,1,50,33
20,student,2,50,39
20,student,3,50,6
40,foreground_rescue_10,0,50,5
40,foreground_rescue_10,1,50,32
40,foreground_rescue_10,2,50,37
40,foreground_rescue_10,3,50,6
40,foreground_rescue_20,0,50,5
40,foreground_rescue_20,1,50,32
40,foreground_rescue_20,2,50,37
40,foreground_rescue_20,3,50,6
40,foreground_rescue_5,0,50,5
40,foreground_rescue_5,1,50,32
40,foreground_rescue_5,2,50,37
40,foreground_rescue_5,3,50,6
40,random,0,50,5
40,random,1,50,32
40,random,2,50,37
40,random,3,50,6
40,random_rescue_10,0,50,5
40,random_rescue_10,1,50,32
40,random_rescue_10,2,50,37
40,random_rescue_10,3,50,6
40,random_rescue_20,0,50,5
40,random_rescue_20,1,50,32
40,random_rescue_20,2,50,37
40,random_rescue_20,3,50,6
40,random_rescue_5,0,50,5
40,random_rescue_5,1,50,32
40,random_rescue_5,2,50,37
40,random_rescue_5,3,50,6
40,student,0,50,5
40,student,1,50,32
40,student,2,50,37
40,student,3,50,6
60,foreground_rescue_10,0,50,3
60,foreground_rescue_10,1,50,20
60,foreground_rescue_10,2,50,38
60,foreground_rescue_10,3,50,10
60,foreground_rescue_20,0,50,3
60,foreground_rescue_20,1,50,20
60,foreground_rescue_20,2,50,38
60,foreground_rescue_20,3,50,10
60,foreground_rescue_5,0,50,3
60,foreground_rescue_5,1,50,20
60,foreground_rescue_5,2,50,38
60,foreground_rescue_5,3,50,10
60,random,0,50,3
60,random,1,50,20
60,random,2,50,38
60,random,3,50,10
60,random_rescue_10,0,50,3
60,random_rescue_10,1,50,20
60,random_rescue_10,2,50,38
60,random_rescue_10,3,50,10
60,random_rescue_20,0,50,3
60,random_rescue_20,1,50,20
60,random_rescue_20,2,50,38
60,random_rescue_20,3,50,10
60,random_rescue_5,0,50,3
60,random_rescue_5,1,50,20
60,random_rescue_5,2,50,38
60,random_rescue_5,3,50,10
